Input;Start;Finish;Input.file.size;Output.file.size
0.data/mlammers_ML01_Mai11/A006850198_172624_S244_L001_R1_001.mapped.sam;20230907044455;20230907045321;544688;2316
0.data/mlammers_ML01_Mai11/A006850198_172626_S245_L001_R1_001.mapped.sam;20230907045321;20230907050313;677608;2320
0.data/mlammers_ML01_Mai11/A006850198_172628_S246_L001_R1_001.mapped.sam;20230907050313;20230907051149;540736;2316
0.data/mlammers_ML01_Mai11/A006850198_172630_S247_L001_R1_001.mapped.sam;20230907051149;20230907052052;655212;2320
0.data/mlammers_ML01_Mai11/A006850198_172632_S248_L001_R1_001.mapped.sam;20230907052052;20230907052803;540920;2320
0.data/mlammers_ML01_Mai11/A006850198_172634_S249_L001_R1_001.mapped.sam;20230907052803;20230907053658;633156;2320
0.data/mlammers_ML01_Mai11/A006850198_172636_S250_L001_R1_001.mapped.sam;20230907053659;20230907054556;600456;2316
0.data/mlammers_ML01_Mai11/A006850198_172638_S251_L001_R1_001.mapped.sam;20230907054556;20230907055532;657652;2320
0.data/mlammers_ML01_Mai11/A006850198_172640_S252_L001_R1_001.mapped.sam;20230907055532;20230907060515;602484;2316
0.data/mlammers_ML01_Mai11/A006850198_172642_S253_L001_R1_001.mapped.sam;20230907060515;20230907061141;454296;2320
0.data/mlammers_ML01_Mai11/A006850198_172644_S254_L001_R1_001.mapped.sam;20230907061141;20230907062016;629048;2320
0.data/mlammers_ML01_Mai11/A006850198_172646_S255_L001_R1_001.mapped.sam;20230907062016;20230907063042;705552;2316
0.data/mlammers_ML01_Mai11/A006850198_172648_S256_L001_R1_001.mapped.sam;20230907063043;20230907063650;432116;2320
0.data/mlammers_ML01_Mai11/A006850198_172650_S257_L001_R1_001.mapped.sam;20230907063650;20230907064504;582456;2320
0.data/mlammers_ML01_Mai11/A006850198_172652_S258_L001_R1_001.mapped.sam;20230907064504;20230907065519;854292;2324
0.data/mlammers_ML01_Mai11/A006850198_172654_S259_L001_R1_001.mapped.sam;20230907065519;20230907070400;601876;2320
0.data/mlammers_ML01_Mai11/A006850198_172656_S260_L001_R1_001.mapped.sam;20230907070400;20230907071419;714772;2320
0.data/mlammers_ML01_Mai11/A006850198_172658_S261_L001_R1_001.mapped.sam;20230907071419;20230907072407;665708;2320
0.data/mlammers_ML01_Mai11/A006850198_172660_S262_L001_R1_001.mapped.sam;20230907072407;20230907073252;597224;2320
0.data/mlammers_ML01_Mai11/A006850198_172662_S263_L001_R1_001.mapped.sam;20230907073252;20230907074059;595512;2320
0.data/mlammers_ML01_Mai11/A006850198_172664_S264_L001_R1_001.mapped.sam;20230907074059;20230907075149;709468;2316
0.data/mlammers_ML01_Mai11/A006850198_172666_S265_L001_R1_001.mapped.sam;20230907075149;20230907075920;624548;2320
0.data/mlammers_ML01_Mai11/A006850198_172668_S266_L001_R1_001.mapped.sam;20230907075920;20230907080733;597536;2316
