0.data/mlammers_ML01_Mai11/	172672	0.data/mlammers_ML01_Mai11/A006850198_172672_S268_L002_R1_001.fastq.gz	A006850198	S268	L002	R1	Pool28-venom	Pool28	venom
0.data/mlammers_ML01_Mai11/	172674	0.data/mlammers_ML01_Mai11/A006850198_172674_S269_L001_R1_001.fastq.gz	A006850198	S269	L001	R1	Pool29-venom	Pool29	venom
0.data/mlammers_ML01_Mai11/	172674	0.data/mlammers_ML01_Mai11/A006850198_172674_S269_L002_R1_001.fastq.gz	A006850198	S269	L002	R1	Pool29-venom	Pool29	venom
0.data/mlammers_ML01_Mai11/	172676	0.data/mlammers_ML01_Mai11/A006850198_172676_S270_L001_R1_001.fastq.gz	A006850198	S270	L001	R1	Pool30-venom	Pool30	venom
0.data/mlammers_ML01_Mai11/	172676	0.data/mlammers_ML01_Mai11/A006850198_172676_S270_L002_R1_001.fastq.gz	A006850198	S270	L002	R1	Pool30-venom	Pool30	venom
0.data/mlammers_ML01_Mai11/	172678	0.data/mlammers_ML01_Mai11/A006850198_172678_S271_L001_R1_001.fastq.gz	A006850198	S271	L001	R1	Pool31-venom	Pool31	venom
0.data/mlammers_ML01_Mai11/	172678	0.data/mlammers_ML01_Mai11/A006850198_172678_S271_L002_R1_001.fastq.gz	A006850198	S271	L002	R1	Pool31-venom	Pool31	venom
0.data/mlammers_ML01_Mai11/	172680	0.data/mlammers_ML01_Mai11/A006850198_172680_S272_L001_R1_001.fastq.gz	A006850198	S272	L001	R1	Pool32-venom	Pool32	venom
0.data/mlammers_ML01_Mai11/	172680	0.data/mlammers_ML01_Mai11/A006850198_172680_S272_L002_R1_001.fastq.gz	A006850198	S272	L002	R1	Pool32-venom	Pool32	venom
0.data/mlammers_ML01_Mai11/	172682	0.data/mlammers_ML01_Mai11/A006850198_172682_S273_L001_R1_001.fastq.gz	A006850198	S273	L001	R1	Pool33-venom	Pool33	venom
0.data/mlammers_ML01_Mai11/	172682	0.data/mlammers_ML01_Mai11/A006850198_172682_S273_L002_R1_001.fastq.gz	A006850198	S273	L002	R1	Pool33-venom	Pool33	venom
0.data/mlammers_ML01_Mai11/	172684	0.data/mlammers_ML01_Mai11/A006850198_172684_S274_L001_R1_001.fastq.gz	A006850198	S274	L001	R1	Pool34-venom	Pool34	venom
0.data/mlammers_ML01_Mai11/	172684	0.data/mlammers_ML01_Mai11/A006850198_172684_S274_L002_R1_001.fastq.gz	A006850198	S274	L002	R1	Pool34-venom	Pool34	venom
0.data/mlammers_ML01_Mai11/	172686	0.data/mlammers_ML01_Mai11/A006850198_172686_S275_L001_R1_001.fastq.gz	A006850198	S275	L001	R1	Pool35-venom	Pool35	venom
0.data/mlammers_ML01_Mai11/	172686	0.data/mlammers_ML01_Mai11/A006850198_172686_S275_L002_R1_001.fastq.gz	A006850198	S275	L002	R1	Pool35-venom	Pool35	venom
0.data/mlammers_ML01_Mai11/	172688	0.data/mlammers_ML01_Mai11/A006850198_172688_S276_L001_R1_001.fastq.gz	A006850198	S276	L001	R1	Pool36-venom	Pool36	venom
0.data/mlammers_ML01_Mai11/	172688	0.data/mlammers_ML01_Mai11/A006850198_172688_S276_L002_R1_001.fastq.gz	A006850198	S276	L002	R1	Pool36-venom	Pool36	venom
0.data/mlammers_ML01_Mai11/	172690	0.data/mlammers_ML01_Mai11/A006850198_172690_S277_L001_R1_001.fastq.gz	A006850198	S277	L001	R1	Pool37-venom	Pool37	venom
0.data/mlammers_ML01_Mai11/	172690	0.data/mlammers_ML01_Mai11/A006850198_172690_S277_L002_R1_001.fastq.gz	A006850198	S277	L002	R1	Pool37-venom	Pool37	venom
0.data/mlammers_ML01_Mai11/	172692	0.data/mlammers_ML01_Mai11/A006850198_172692_S278_L001_R1_001.fastq.gz	A006850198	S278	L001	R1	Pool38-venom	Pool38	venom
0.data/mlammers_ML01_Mai11/	172692	0.data/mlammers_ML01_Mai11/A006850198_172692_S278_L002_R1_001.fastq.gz	A006850198	S278	L002	R1	Pool38-venom	Pool38	venom
0.data/mlammers_ML01_Mai11/	172694	0.data/mlammers_ML01_Mai11/A006850198_172694_S279_L001_R1_001.fastq.gz	A006850198	S279	L001	R1	Pool39-venom	Pool39	venom
0.data/mlammers_ML01_Mai11/	172694	0.data/mlammers_ML01_Mai11/A006850198_172694_S279_L002_R1_001.fastq.gz	A006850198	S279	L002	R1	Pool39-venom	Pool39	venom
0.data/mlammers_ML01_Mai11/	172696	0.data/mlammers_ML01_Mai11/A006850198_172696_S280_L001_R1_001.fastq.gz	A006850198	S280	L001	R1	Pool40-venom	Pool40	venom
0.data/mlammers_ML01_Mai11/	172696	0.data/mlammers_ML01_Mai11/A006850198_172696_S280_L002_R1_001.fastq.gz	A006850198	S280	L002	R1	Pool40-venom	Pool40	venom
0.data/mlammers_ML01_Mai11/	172698	0.data/mlammers_ML01_Mai11/A006850198_172698_S281_L001_R1_001.fastq.gz	A006850198	S281	L001	R1	Pool41-venom	Pool41	venom
0.data/mlammers_ML01_Mai11/	172698	0.data/mlammers_ML01_Mai11/A006850198_172698_S281_L002_R1_001.fastq.gz	A006850198	S281	L002	R1	Pool41-venom	Pool41	venom
0.data/mlammers_ML01_Mai11/	172700	0.data/mlammers_ML01_Mai11/A006850198_172700_S282_L001_R1_001.fastq.gz	A006850198	S282	L001	R1	Pool42-venom	Pool42	venom
0.data/mlammers_ML01_Mai11/	172700	0.data/mlammers_ML01_Mai11/A006850198_172700_S282_L002_R1_001.fastq.gz	A006850198	S282	L002	R1	Pool42-venom	Pool42	venom
0.data/mlammers_ML01_Mai11/	172703	0.data/mlammers_ML01_Mai11/A006850198_172703_S283_L001_R1_001.fastq.gz	A006850198	S283	L001	R1	Pool43-venom	Pool43	venom
0.data/mlammers_ML01_Mai11/	172703	0.data/mlammers_ML01_Mai11/A006850198_172703_S283_L002_R1_001.fastq.gz	A006850198	S283	L002	R1	Pool43-venom	Pool43	venom
0.data/mlammers_ML01_Mai11/	172705	0.data/mlammers_ML01_Mai11/A006850198_172705_S284_L001_R1_001.fastq.gz	A006850198	S284	L001	R1	Pool44-venom	Pool44	venom
0.data/mlammers_ML01_Mai11/	172705	0.data/mlammers_ML01_Mai11/A006850198_172705_S284_L002_R1_001.fastq.gz	A006850198	S284	L002	R1	Pool44-venom	Pool44	venom
0.data/mlammers_ML01_Mai11/	172707	0.data/mlammers_ML01_Mai11/A006850198_172707_S285_L001_R1_001.fastq.gz	A006850198	S285	L001	R1	Pool45-venom	Pool45	venom
0.data/mlammers_ML01_Mai11/	172707	0.data/mlammers_ML01_Mai11/A006850198_172707_S285_L002_R1_001.fastq.gz	A006850198	S285	L002	R1	Pool45-venom	Pool45	venom
0.data/mlammers_ML01_Mai11/	172709	0.data/mlammers_ML01_Mai11/A006850198_172709_S286_L001_R1_001.fastq.gz	A006850198	S286	L001	R1	Pool46-venom	Pool46	venom
0.data/mlammers_ML01_Mai11/	172709	0.data/mlammers_ML01_Mai11/A006850198_172709_S286_L002_R1_001.fastq.gz	A006850198	S286	L002	R1	Pool46-venom	Pool46	venom
0.data/mlammers_ML01_Mai11/	172711	0.data/mlammers_ML01_Mai11/A006850198_172711_S287_L001_R1_001.fastq.gz	A006850198	S287	L001	R1	Pool47-venom	Pool47	venom
0.data/mlammers_ML01_Mai11/	172711	0.data/mlammers_ML01_Mai11/A006850198_172711_S287_L002_R1_001.fastq.gz	A006850198	S287	L002	R1	Pool47-venom	Pool47	venom
0.data/mlammers_ML01_Mai11/	172713	0.data/mlammers_ML01_Mai11/A006850198_172713_S288_L001_R1_001.fastq.gz	A006850198	S288	L001	R1	Pool48-venom	Pool48	venom
0.data/mlammers_ML01_Mai11/	172713	0.data/mlammers_ML01_Mai11/A006850198_172713_S288_L002_R1_001.fastq.gz	A006850198	S288	L002	R1	Pool48-venom	Pool48	venom
0.data/mlammers_ML01_Mai11/	172715	0.data/mlammers_ML01_Mai11/A006850198_172715_S289_L001_R1_001.fastq.gz	A006850198	S289	L001	R1	Pool49-venom	Pool49	venom
0.data/mlammers_ML01_Mai11/	172715	0.data/mlammers_ML01_Mai11/A006850198_172715_S289_L002_R1_001.fastq.gz	A006850198	S289	L002	R1	Pool49-venom	Pool49	venom
0.data/mlammers_ML01_Mai11/	172717	0.data/mlammers_ML01_Mai11/A006850198_172717_S290_L001_R1_001.fastq.gz	A006850198	S290	L001	R1	Pool50-venom	Pool50	venom
0.data/mlammers_ML01_Mai11/	172717	0.data/mlammers_ML01_Mai11/A006850198_172717_S290_L002_R1_001.fastq.gz	A006850198	S290	L002	R1	Pool50-venom	Pool50	venom
0.data/mlammers_ML01_Mai11/	172719	0.data/mlammers_ML01_Mai11/A006850198_172719_S291_L001_R1_001.fastq.gz	A006850198	S291	L001	R1	Pool51-venom	Pool51	venom
0.data/mlammers_ML01_Mai11/	172719	0.data/mlammers_ML01_Mai11/A006850198_172719_S291_L002_R1_001.fastq.gz	A006850198	S291	L002	R1	Pool51-venom	Pool51	venom
0.data/mlammers_ML01_Mai11/	172721	0.data/mlammers_ML01_Mai11/A006850198_172721_S292_L001_R1_001.fastq.gz	A006850198	S292	L001	R1	Pool52-venom	Pool52	venom
0.data/mlammers_ML01_Mai11/	172721	0.data/mlammers_ML01_Mai11/A006850198_172721_S292_L002_R1_001.fastq.gz	A006850198	S292	L002	R1	Pool52-venom	Pool52	venom
