File.name	A00	FileID	S	L	R	Path
0.data/mlammers_ML01_Mai11/A006850198_172462_S164_L001_R1_001.fastq.gz	A006850198	172462	S164	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172462_S164_L002_R1_001.fastq.gz	A006850198	172462	S164	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172464_S165_L001_R1_001.fastq.gz	A006850198	172464	S165	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172464_S165_L002_R1_001.fastq.gz	A006850198	172464	S165	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172466_S166_L001_R1_001.fastq.gz	A006850198	172466	S166	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172466_S166_L002_R1_001.fastq.gz	A006850198	172466	S166	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172468_S167_L001_R1_001.fastq.gz	A006850198	172468	S167	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172468_S167_L002_R1_001.fastq.gz	A006850198	172468	S167	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172470_S168_L001_R1_001.fastq.gz	A006850198	172470	S168	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172470_S168_L002_R1_001.fastq.gz	A006850198	172470	S168	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172472_S169_L001_R1_001.fastq.gz	A006850198	172472	S169	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172472_S169_L002_R1_001.fastq.gz	A006850198	172472	S169	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172474_S170_L001_R1_001.fastq.gz	A006850198	172474	S170	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172474_S170_L002_R1_001.fastq.gz	A006850198	172474	S170	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172476_S171_L001_R1_001.fastq.gz	A006850198	172476	S171	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172476_S171_L002_R1_001.fastq.gz	A006850198	172476	S171	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172478_S172_L001_R1_001.fastq.gz	A006850198	172478	S172	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172478_S172_L002_R1_001.fastq.gz	A006850198	172478	S172	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172480_S173_L001_R1_001.fastq.gz	A006850198	172480	S173	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172480_S173_L002_R1_001.fastq.gz	A006850198	172480	S173	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172482_S174_L001_R1_001.fastq.gz	A006850198	172482	S174	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172482_S174_L002_R1_001.fastq.gz	A006850198	172482	S174	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172484_S175_L001_R1_001.fastq.gz	A006850198	172484	S175	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172484_S175_L002_R1_001.fastq.gz	A006850198	172484	S175	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172486_S176_L001_R1_001.fastq.gz	A006850198	172486	S176	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172486_S176_L002_R1_001.fastq.gz	A006850198	172486	S176	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172488_S177_L001_R1_001.fastq.gz	A006850198	172488	S177	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172488_S177_L002_R1_001.fastq.gz	A006850198	172488	S177	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172490_S178_L001_R1_001.fastq.gz	A006850198	172490	S178	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172490_S178_L002_R1_001.fastq.gz	A006850198	172490	S178	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172492_S179_L001_R1_001.fastq.gz	A006850198	172492	S179	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172492_S179_L002_R1_001.fastq.gz	A006850198	172492	S179	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172494_S180_L001_R1_001.fastq.gz	A006850198	172494	S180	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172494_S180_L002_R1_001.fastq.gz	A006850198	172494	S180	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172496_S181_L001_R1_001.fastq.gz	A006850198	172496	S181	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172496_S181_L002_R1_001.fastq.gz	A006850198	172496	S181	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172498_S182_L001_R1_001.fastq.gz	A006850198	172498	S182	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172498_S182_L002_R1_001.fastq.gz	A006850198	172498	S182	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172500_S183_L001_R1_001.fastq.gz	A006850198	172500	S183	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172500_S183_L002_R1_001.fastq.gz	A006850198	172500	S183	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172502_S184_L001_R1_001.fastq.gz	A006850198	172502	S184	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172502_S184_L002_R1_001.fastq.gz	A006850198	172502	S184	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172504_S185_L001_R1_001.fastq.gz	A006850198	172504	S185	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172504_S185_L002_R1_001.fastq.gz	A006850198	172504	S185	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172507_S186_L001_R1_001.fastq.gz	A006850198	172507	S186	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172507_S186_L002_R1_001.fastq.gz	A006850198	172507	S186	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172509_S187_L001_R1_001.fastq.gz	A006850198	172509	S187	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172509_S187_L002_R1_001.fastq.gz	A006850198	172509	S187	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172511_S188_L001_R1_001.fastq.gz	A006850198	172511	S188	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172511_S188_L002_R1_001.fastq.gz	A006850198	172511	S188	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172513_S189_L001_R1_001.fastq.gz	A006850198	172513	S189	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172513_S189_L002_R1_001.fastq.gz	A006850198	172513	S189	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172515_S190_L001_R1_001.fastq.gz	A006850198	172515	S190	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172515_S190_L002_R1_001.fastq.gz	A006850198	172515	S190	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172517_S191_L001_R1_001.fastq.gz	A006850198	172517	S191	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172517_S191_L002_R1_001.fastq.gz	A006850198	172517	S191	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172519_S192_L001_R1_001.fastq.gz	A006850198	172519	S192	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172519_S192_L002_R1_001.fastq.gz	A006850198	172519	S192	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172521_S193_L001_R1_001.fastq.gz	A006850198	172521	S193	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172521_S193_L002_R1_001.fastq.gz	A006850198	172521	S193	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172523_S194_L001_R1_001.fastq.gz	A006850198	172523	S194	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172523_S194_L002_R1_001.fastq.gz	A006850198	172523	S194	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172525_S195_L001_R1_001.fastq.gz	A006850198	172525	S195	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172525_S195_L002_R1_001.fastq.gz	A006850198	172525	S195	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172527_S196_L001_R1_001.fastq.gz	A006850198	172527	S196	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172527_S196_L002_R1_001.fastq.gz	A006850198	172527	S196	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172529_S197_L001_R1_001.fastq.gz	A006850198	172529	S197	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172529_S197_L002_R1_001.fastq.gz	A006850198	172529	S197	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172531_S198_L001_R1_001.fastq.gz	A006850198	172531	S198	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172531_S198_L002_R1_001.fastq.gz	A006850198	172531	S198	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172533_S199_L001_R1_001.fastq.gz	A006850198	172533	S199	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172533_S199_L002_R1_001.fastq.gz	A006850198	172533	S199	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172535_S200_L001_R1_001.fastq.gz	A006850198	172535	S200	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172535_S200_L002_R1_001.fastq.gz	A006850198	172535	S200	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172537_S201_L001_R1_001.fastq.gz	A006850198	172537	S201	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172537_S201_L002_R1_001.fastq.gz	A006850198	172537	S201	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172539_S202_L001_R1_001.fastq.gz	A006850198	172539	S202	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172539_S202_L002_R1_001.fastq.gz	A006850198	172539	S202	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172541_S203_L001_R1_001.fastq.gz	A006850198	172541	S203	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172541_S203_L002_R1_001.fastq.gz	A006850198	172541	S203	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172543_S204_L001_R1_001.fastq.gz	A006850198	172543	S204	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172543_S204_L002_R1_001.fastq.gz	A006850198	172543	S204	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172545_S205_L001_R1_001.fastq.gz	A006850198	172545	S205	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172545_S205_L002_R1_001.fastq.gz	A006850198	172545	S205	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172547_S206_L001_R1_001.fastq.gz	A006850198	172547	S206	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172547_S206_L002_R1_001.fastq.gz	A006850198	172547	S206	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172549_S207_L001_R1_001.fastq.gz	A006850198	172549	S207	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172549_S207_L002_R1_001.fastq.gz	A006850198	172549	S207	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172551_S208_L001_R1_001.fastq.gz	A006850198	172551	S208	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172551_S208_L002_R1_001.fastq.gz	A006850198	172551	S208	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172553_S209_L001_R1_001.fastq.gz	A006850198	172553	S209	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172553_S209_L002_R1_001.fastq.gz	A006850198	172553	S209	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172555_S210_L001_R1_001.fastq.gz	A006850198	172555	S210	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172555_S210_L002_R1_001.fastq.gz	A006850198	172555	S210	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172557_S211_L001_R1_001.fastq.gz	A006850198	172557	S211	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172557_S211_L002_R1_001.fastq.gz	A006850198	172557	S211	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172559_S212_L001_R1_001.fastq.gz	A006850198	172559	S212	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172559_S212_L002_R1_001.fastq.gz	A006850198	172559	S212	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172561_S213_L001_R1_001.fastq.gz	A006850198	172561	S213	L001	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172561_S213_L002_R1_001.fastq.gz	A006850198	172561	S213	L002	R1	0.data/mlammers_ML01_Mai11/
0.data/mlammers_ML01_Mai11/A006850198_172563_S214_L001_R1_001.fastq.gz	A006850198	172563	S214	L001	R1	0.data/mlammers_ML01_Mai11/
