Path	FileID	File.name	A00	S	L	R	Sample.Name	Sample	Tissue
0.data/mlammers_ML01_Mai11/	172468	0.data/mlammers_ML01_Mai11/A006850198_172468_S167_L001_R1_001.fastq.gz	A006850198	S167	L001	R1	Pool31-head	Pool31	head
0.data/mlammers_ML01_Mai11/	172468	0.data/mlammers_ML01_Mai11/A006850198_172468_S167_L002_R1_001.fastq.gz	A006850198	S167	L002	R1	Pool31-head	Pool31	head
0.data/mlammers_ML01_Mai11/	172470	0.data/mlammers_ML01_Mai11/A006850198_172470_S168_L001_R1_001.fastq.gz	A006850198	S168	L001	R1	Pool32-head	Pool32	head
0.data/mlammers_ML01_Mai11/	172470	0.data/mlammers_ML01_Mai11/A006850198_172470_S168_L002_R1_001.fastq.gz	A006850198	S168	L002	R1	Pool32-head	Pool32	head
0.data/mlammers_ML01_Mai11/	172472	0.data/mlammers_ML01_Mai11/A006850198_172472_S169_L001_R1_001.fastq.gz	A006850198	S169	L001	R1	Pool33-head	Pool33	head
0.data/mlammers_ML01_Mai11/	172472	0.data/mlammers_ML01_Mai11/A006850198_172472_S169_L002_R1_001.fastq.gz	A006850198	S169	L002	R1	Pool33-head	Pool33	head
0.data/mlammers_ML01_Mai11/	172474	0.data/mlammers_ML01_Mai11/A006850198_172474_S170_L001_R1_001.fastq.gz	A006850198	S170	L001	R1	Pool34-head	Pool34	head
0.data/mlammers_ML01_Mai11/	172474	0.data/mlammers_ML01_Mai11/A006850198_172474_S170_L002_R1_001.fastq.gz	A006850198	S170	L002	R1	Pool34-head	Pool34	head
0.data/mlammers_ML01_Mai11/	172476	0.data/mlammers_ML01_Mai11/A006850198_172476_S171_L001_R1_001.fastq.gz	A006850198	S171	L001	R1	Pool35-head	Pool35	head
0.data/mlammers_ML01_Mai11/	172476	0.data/mlammers_ML01_Mai11/A006850198_172476_S171_L002_R1_001.fastq.gz	A006850198	S171	L002	R1	Pool35-head	Pool35	head
0.data/mlammers_ML01_Mai11/	172478	0.data/mlammers_ML01_Mai11/A006850198_172478_S172_L001_R1_001.fastq.gz	A006850198	S172	L001	R1	Pool36-head	Pool36	head
0.data/mlammers_ML01_Mai11/	172478	0.data/mlammers_ML01_Mai11/A006850198_172478_S172_L002_R1_001.fastq.gz	A006850198	S172	L002	R1	Pool36-head	Pool36	head
0.data/mlammers_ML01_Mai11/	172480	0.data/mlammers_ML01_Mai11/A006850198_172480_S173_L001_R1_001.fastq.gz	A006850198	S173	L001	R1	Pool37-head	Pool37	head
0.data/mlammers_ML01_Mai11/	172480	0.data/mlammers_ML01_Mai11/A006850198_172480_S173_L002_R1_001.fastq.gz	A006850198	S173	L002	R1	Pool37-head	Pool37	head
0.data/mlammers_ML01_Mai11/	172482	0.data/mlammers_ML01_Mai11/A006850198_172482_S174_L001_R1_001.fastq.gz	A006850198	S174	L001	R1	Pool38-head	Pool38	head
0.data/mlammers_ML01_Mai11/	172482	0.data/mlammers_ML01_Mai11/A006850198_172482_S174_L002_R1_001.fastq.gz	A006850198	S174	L002	R1	Pool38-head	Pool38	head
0.data/mlammers_ML01_Mai11/	172484	0.data/mlammers_ML01_Mai11/A006850198_172484_S175_L001_R1_001.fastq.gz	A006850198	S175	L001	R1	Pool39-head	Pool39	head
0.data/mlammers_ML01_Mai11/	172484	0.data/mlammers_ML01_Mai11/A006850198_172484_S175_L002_R1_001.fastq.gz	A006850198	S175	L002	R1	Pool39-head	Pool39	head
0.data/mlammers_ML01_Mai11/	172486	0.data/mlammers_ML01_Mai11/A006850198_172486_S176_L001_R1_001.fastq.gz	A006850198	S176	L001	R1	Pool40-head	Pool40	head
0.data/mlammers_ML01_Mai11/	172486	0.data/mlammers_ML01_Mai11/A006850198_172486_S176_L002_R1_001.fastq.gz	A006850198	S176	L002	R1	Pool40-head	Pool40	head
0.data/mlammers_ML01_Mai11/	172488	0.data/mlammers_ML01_Mai11/A006850198_172488_S177_L001_R1_001.fastq.gz	A006850198	S177	L001	R1	Pool41-head	Pool41	head
0.data/mlammers_ML01_Mai11/	172488	0.data/mlammers_ML01_Mai11/A006850198_172488_S177_L002_R1_001.fastq.gz	A006850198	S177	L002	R1	Pool41-head	Pool41	head
0.data/mlammers_ML01_Mai11/	172490	0.data/mlammers_ML01_Mai11/A006850198_172490_S178_L001_R1_001.fastq.gz	A006850198	S178	L001	R1	Pool42-head	Pool42	head
0.data/mlammers_ML01_Mai11/	172490	0.data/mlammers_ML01_Mai11/A006850198_172490_S178_L002_R1_001.fastq.gz	A006850198	S178	L002	R1	Pool42-head	Pool42	head
0.data/mlammers_ML01_Mai11/	172492	0.data/mlammers_ML01_Mai11/A006850198_172492_S179_L001_R1_001.fastq.gz	A006850198	S179	L001	R1	Pool43-head	Pool43	head
0.data/mlammers_ML01_Mai11/	172492	0.data/mlammers_ML01_Mai11/A006850198_172492_S179_L002_R1_001.fastq.gz	A006850198	S179	L002	R1	Pool43-head	Pool43	head
0.data/mlammers_ML01_Mai11/	172494	0.data/mlammers_ML01_Mai11/A006850198_172494_S180_L001_R1_001.fastq.gz	A006850198	S180	L001	R1	Pool44-head	Pool44	head
0.data/mlammers_ML01_Mai11/	172494	0.data/mlammers_ML01_Mai11/A006850198_172494_S180_L002_R1_001.fastq.gz	A006850198	S180	L002	R1	Pool44-head	Pool44	head
0.data/mlammers_ML01_Mai11/	172496	0.data/mlammers_ML01_Mai11/A006850198_172496_S181_L001_R1_001.fastq.gz	A006850198	S181	L001	R1	Pool45-head	Pool45	head
0.data/mlammers_ML01_Mai11/	172496	0.data/mlammers_ML01_Mai11/A006850198_172496_S181_L002_R1_001.fastq.gz	A006850198	S181	L002	R1	Pool45-head	Pool45	head
0.data/mlammers_ML01_Mai11/	172498	0.data/mlammers_ML01_Mai11/A006850198_172498_S182_L001_R1_001.fastq.gz	A006850198	S182	L001	R1	Pool46-head	Pool46	head
0.data/mlammers_ML01_Mai11/	172498	0.data/mlammers_ML01_Mai11/A006850198_172498_S182_L002_R1_001.fastq.gz	A006850198	S182	L002	R1	Pool46-head	Pool46	head
0.data/mlammers_ML01_Mai11/	172500	0.data/mlammers_ML01_Mai11/A006850198_172500_S183_L001_R1_001.fastq.gz	A006850198	S183	L001	R1	Pool47-head	Pool47	head
0.data/mlammers_ML01_Mai11/	172500	0.data/mlammers_ML01_Mai11/A006850198_172500_S183_L002_R1_001.fastq.gz	A006850198	S183	L002	R1	Pool47-head	Pool47	head
0.data/mlammers_ML01_Mai11/	172502	0.data/mlammers_ML01_Mai11/A006850198_172502_S184_L001_R1_001.fastq.gz	A006850198	S184	L001	R1	Pool48-head	Pool48	head
0.data/mlammers_ML01_Mai11/	172502	0.data/mlammers_ML01_Mai11/A006850198_172502_S184_L002_R1_001.fastq.gz	A006850198	S184	L002	R1	Pool48-head	Pool48	head
0.data/mlammers_ML01_Mai11/	172504	0.data/mlammers_ML01_Mai11/A006850198_172504_S185_L001_R1_001.fastq.gz	A006850198	S185	L001	R1	Pool49-head	Pool49	head
0.data/mlammers_ML01_Mai11/	172504	0.data/mlammers_ML01_Mai11/A006850198_172504_S185_L002_R1_001.fastq.gz	A006850198	S185	L002	R1	Pool49-head	Pool49	head
0.data/mlammers_ML01_Mai11/	172507	0.data/mlammers_ML01_Mai11/A006850198_172507_S186_L001_R1_001.fastq.gz	A006850198	S186	L001	R1	Pool50-head	Pool50	head
0.data/mlammers_ML01_Mai11/	172507	0.data/mlammers_ML01_Mai11/A006850198_172507_S186_L002_R1_001.fastq.gz	A006850198	S186	L002	R1	Pool50-head	Pool50	head
0.data/mlammers_ML01_Mai11/	172509	0.data/mlammers_ML01_Mai11/A006850198_172509_S187_L001_R1_001.fastq.gz	A006850198	S187	L001	R1	Pool51-head	Pool51	head
0.data/mlammers_ML01_Mai11/	172509	0.data/mlammers_ML01_Mai11/A006850198_172509_S187_L002_R1_001.fastq.gz	A006850198	S187	L002	R1	Pool51-head	Pool51	head
0.data/mlammers_ML01_Mai11/	172511	0.data/mlammers_ML01_Mai11/A006850198_172511_S188_L001_R1_001.fastq.gz	A006850198	S188	L001	R1	Pool52-head	Pool52	head
0.data/mlammers_ML01_Mai11/	172511	0.data/mlammers_ML01_Mai11/A006850198_172511_S188_L002_R1_001.fastq.gz	A006850198	S188	L002	R1	Pool52-head	Pool52	head
0.data/mlammers_ML01_Mai11/	172513	0.data/mlammers_ML01_Mai11/A006850198_172513_S189_L001_R1_001.fastq.gz	A006850198	S189	L001	R1	Pool1-ovaries	Pool1	ovaries
0.data/mlammers_ML01_Mai11/	172513	0.data/mlammers_ML01_Mai11/A006850198_172513_S189_L002_R1_001.fastq.gz	A006850198	S189	L002	R1	Pool1-ovaries	Pool1	ovaries
0.data/mlammers_ML01_Mai11/	172515	0.data/mlammers_ML01_Mai11/A006850198_172515_S190_L001_R1_001.fastq.gz	A006850198	S190	L001	R1	Pool2-ovaries	Pool2	ovaries
0.data/mlammers_ML01_Mai11/	172515	0.data/mlammers_ML01_Mai11/A006850198_172515_S190_L002_R1_001.fastq.gz	A006850198	S190	L002	R1	Pool2-ovaries	Pool2	ovaries
0.data/mlammers_ML01_Mai11/	172517	0.data/mlammers_ML01_Mai11/A006850198_172517_S191_L001_R1_001.fastq.gz	A006850198	S191	L001	R1	Pool3-ovaries	Pool3	ovaries
0.data/mlammers_ML01_Mai11/	172517	0.data/mlammers_ML01_Mai11/A006850198_172517_S191_L002_R1_001.fastq.gz	A006850198	S191	L002	R1	Pool3-ovaries	Pool3	ovaries
0.data/mlammers_ML01_Mai11/	172519	0.data/mlammers_ML01_Mai11/A006850198_172519_S192_L001_R1_001.fastq.gz	A006850198	S192	L001	R1	Pool4-ovaries	Pool4	ovaries
0.data/mlammers_ML01_Mai11/	172519	0.data/mlammers_ML01_Mai11/A006850198_172519_S192_L002_R1_001.fastq.gz	A006850198	S192	L002	R1	Pool4-ovaries	Pool4	ovaries
0.data/mlammers_ML01_Mai11/	172521	0.data/mlammers_ML01_Mai11/A006850198_172521_S193_L001_R1_001.fastq.gz	A006850198	S193	L001	R1	Pool5-ovaries	Pool5	ovaries
0.data/mlammers_ML01_Mai11/	172521	0.data/mlammers_ML01_Mai11/A006850198_172521_S193_L002_R1_001.fastq.gz	A006850198	S193	L002	R1	Pool5-ovaries	Pool5	ovaries
0.data/mlammers_ML01_Mai11/	172523	0.data/mlammers_ML01_Mai11/A006850198_172523_S194_L001_R1_001.fastq.gz	A006850198	S194	L001	R1	Pool6-ovaries	Pool6	ovaries
0.data/mlammers_ML01_Mai11/	172523	0.data/mlammers_ML01_Mai11/A006850198_172523_S194_L002_R1_001.fastq.gz	A006850198	S194	L002	R1	Pool6-ovaries	Pool6	ovaries
0.data/mlammers_ML01_Mai11/	172525	0.data/mlammers_ML01_Mai11/A006850198_172525_S195_L001_R1_001.fastq.gz	A006850198	S195	L001	R1	Pool7-ovaries	Pool7	ovaries
